Module Name,Phisycal Name,Bench Name,Unit Name,Data Type,Unit Type,Unit Measure,Decimals,LinkChannel,ModuleID,ChannelID,Description
DSG_CanCcp,B_phade_CCP1_AE31a,,B_phade_CCP1_AE31a,SINGLE,GENERIC,,2,,3005,81,
DSG_CanCcp,Epm_stSync_CCP1_AE31a,,Epm_stSync_CCP1_AE31a,SINGLE,GENERIC,,2,,3005,82,
DSG_CanCcp,EpmCaS_phiCaSOfsAvg_0_CCP1_AE31a,,EpmCaS_phiCaSOfsAvg_0_CCP1_AE31a,SINGLE,GENERIC,deg CrS,2,,3005,83,
DSG_CanCcp,EpmCaS_phiCaSOfsAvg_1_CCP1_AE31a,,EpmCaS_phiCaSOfsAvg_1_CCP1_AE31a,SINGLE,GENERIC,deg CrS,2,,3005,84,
DSG_CanCcp,fkmsdk_w_CCP1_AE31a,,,SINGLE,GENERIC,-,2,,3005,85,
DSG_CanCcp,fpuk_w_CCP1_AE31a,,fpuk_w_CCP1_AE31a,SINGLE,GENERIC,-,2,,3005,86,
DSG_CanCcp,fra_w_CCP1_AE31a,,fra_w_CCP1_AE31a,SINGLE,GENERIC,-,2,,3005,87,
DSG_CanCcp,miopt_w_CCP1_AE31a,,,SINGLE,GENERIC,%,2,,3005,88,
DSG_CanCcp,msabnav_w_CCP1_AE31a,,,SINGLE,GENERIC,kg/h,2,,3005,89,
DSG_CanCcp,msdk_w_CCP1_AE31a,,msdk_w_CCP1_AE31a,SINGLE,GENERIC,kg/h,2,,3005,90,
DSG_CanCcp,msdks_w_CCP1_AE31a,,,SINGLE,GENERIC,kg/h,2,,3005,91,
DSG_CanCcp,ora_w_CCP1_AE31a,,,SINGLE,GENERIC,%,2,,3005,92,
DSG_CanCcp,pabnav_w_CCP1_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,93,
DSG_CanCcp,pbrint_w_CCP1_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,94,
DSG_CanCcp,PthLead_trqInrLead_CCP1_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,95,
DSG_CanCcp,pu_w_CCP1_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,96,
DSG_CanCcp,RngMod_trqLos_CCP1_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,97,
DSG_CanCcp,taev_w_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,98,
DSG_CanCcp,taikr_w_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,99,
DSG_CanCcp,tasr_w_CCP1_AE31a,,tasr_w_CCP1_AE31a,SINGLE,GENERIC,Grad C,2,,3005,100,
DSG_CanCcp,tavdk_w_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,101,
DSG_CanCcp,tavv_w_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,102,
DSG_CanCcp,tfuelr_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,103,
DSG_CanCcp,tmot_CCP1_AE31a,,tmot_CCP1_AE31a,SINGLE,GENERIC,Grad C,2,,3005,104,
DSG_CanCcp,toch_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,105,
DSG_CanCcp,TrbCh_OffsLrn_I.nrOffsLrnStep_CCP1_AE31a,,,SINGLE,GENERIC,-,2,,3005,106,
DSG_CanCcp,TrbCh_uElStopClsdSens1B1_CCP1_AE31a,,,SINGLE,GENERIC,V,2,,3005,107,
DSG_CanCcp,tumg_CCP1_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,108,
DSG_CanCcp,dwkrz_0_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,110,
DSG_CanCcp,dwkrz_1_CCP2_AE31a,,,SINGLE,GENERIC,Grad KW,2,,3005,111,
